--- INTERVIEW ---
COMMAND_CLASS_ZWAVEPLUS_INFO 2
COMMAND_CLASS_SECURITY 1
COMMAND_CLASS_SECURITY_2 1
COMMAND_CLASS_TRANSPORT_SERVICE 2
COMMAND_CLASS_METER 6
COMMAND_CLASS_SWITCH_MULTILEVEL 4
COMMAND_CLASS_NOTIFICATION 8
COMMAND_CLASS_ASSOCIATION 2
COMMAND_CLASS_ASSOCIATION_GRP_INFO 3
COMMAND_CLASS_MULTI_CHANNEL_ASSOCIATION 3
COMMAND_CLASS_CENTRAL_SCENE 3
COMMAND_CLASS_DEVICE_RESET_LOCALLY 1
COMMAND_CLASS_FIRMWARE_UPDATE_MD 5
COMMAND_CLASS_INDICATOR 3
COMMAND_CLASS_MULTI_CHANNEL 4
COMMAND_CLASS_POWERLEVEL 1
COMMAND_CLASS_SUPERVISION 1
COMMAND_CLASS_VERSION 3
COMMAND_CLASS_CONFIGURATION 4
COMMAND_CLASS_MANUFACTURER_SPECIFIC 2
COMMAND_CLASS_WINDOW_COVERING 1
COMMAND_CLASS_BASIC 2
